鄉鎮市長一覽表,,,,,,,,,,,,,,
選舉年,市縣別,鄉鎮市,機關別,姓     名,職稱,性別,黨籍,辦公地址,辦公電話,電子信箱,學   歷,簡    歷,布落格,連結網頁
099第十六屆各鄉鎮市長選舉,宜蘭縣,宜蘭市,宜蘭縣宜蘭市公所,黃　定和,市長,男,中國國民黨,(260)宜蘭縣宜蘭市神農里中山路2段432號,03-9322221,mayor15@mail.ilancity.gov.tw,佛光大學公共事務學系研究所碩士,宜蘭市市民代表,,http://www.ilancity.gov.tw/
099第十六屆各鄉鎮市長選舉,宜蘭縣,羅東鎮,宜蘭縣羅東鎮公所,林　姿妙,鎮長,女,中國國民黨,(265)宜蘭縣羅東鎮賢文里中興路3號,03-9545102,a1516@mail.e-land.gov.tw,省立羅東高級商業職業學校商業科畢業(60年),1.宜蘭縣議會第14.15.16屆議員。2.宜蘭縣義消羅東分隊顧問。3.羅東林管處性騷擾申訴處理委員。4.蘭陽單車休閒健身會顧問。5.羅東義警中隊成功分隊顧問。6.羅東國中家長會顧問。7.宜蘭警察之友會羅東辦事處開羅站顧問。8.財團法人羅東高商教育基金會常務董事。9.社團法人宜蘭縣聽障者聲暉協會顧問。10.宜蘭縣婦女會第19屆理事長。,,http://www.lotong.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮公所,林　騰煌,鎮長,男,中國國民黨,(270)宜蘭縣蘇澳鎮蘇西里蘇港路215號,03-9968906,service@suao.gov.tw,馬賽國小 蘇澳初中 中華工商高級職業學校,蘇澳鎮民代表會第14、15、16屆代表。 蘇澳鎮民代表會第17屆副主席。 救國團蘇澳團委會會長。 蘇澳鎮各宮、寺廟管理委員會主委、委員、顧問。 蘇澳鎮隘丁社區發展協會理事長。 國立政治大學地方首長公共管理暨施政行銷研習班結業。 蘇澳鎮第15屆鎮長。,,http://www.suao.gov.tw/
099第十六屆各鄉鎮市長選舉,宜蘭縣,頭城鎮,宜蘭縣頭城鎮公所,陳　秀暖,鎮長,女,無政黨,(261)宜蘭縣頭城鎮城北里纘祥路88號,(03)9772370,tcboss@mail.e-lang.gov.tw,蘭陽技術學院,頭城鎮第13、14屆鎮民代表 宜蘭縣第13、14、15屆議員 頭城鎮第15屆鎮長 頭城鎮調解會主席連任三屆 頭城區漁會理事事,,http://toucheng.e-land.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉公所,林　錫忠,鄉長,男,民主進步黨,(262)宜蘭縣礁溪鄉六結村中山路2段3號,03-9881311,jiaosi.e-land.gov.tw,國立中興大學法律系畢業,宜蘭縣政府科員 法制股股長 秘書室副主任 消費者保護官 宜蘭縣政府勞工處處長 秘書處處長,,http://jiaosi.e-land.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉公所,簡　文魁,鄉長,男,中國國民黨,(263)宜蘭縣壯圍鄉吉祥村吉祥村壯志路1號,(03)9383018,jw99@mail.e-land.gov.tw,高職,1.壯圍鄉後備軍人輔導中心主任。 2.大福村村長。 3.壯圍鄉民代表會副主席。,http://jw9805.pixnet.net/blog,http://jhuangwei.e-land.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,員山鄉,宜蘭縣員山鄉公所,江　永和,鄉長,男,民主進步黨,(264)宜蘭縣員山鄉員山村員山村員山路1段322號,03-9231991,9227429@mail.e-land.gov.tw,國立宜蘭高級商業職業進修學校畢業,宜蘭縣宜蘭市第15屆第16屆第18屆市民代表,,http://www.yuanshan.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,冬山鄉,宜蘭縣冬山鄉公所,謝　燦輝,鄉長,男,民主進步黨,(269)宜蘭縣冬山鄉南興村冬山路100號,(03)9591105,ds77@mail.e-land.gov.tw,蘭陽技術學院畢,冬山鄉第十七屆代表會副主席、第十八屆代表會主席,,http://www.dongshan.gov.tw
099第十六屆各鄉鎮市長選舉,宜蘭縣,五結鄉,宜蘭縣五結鄉公所,簡　松樹,鄉長,男,民主進步黨,(268)宜蘭縣五結鄉五結村五結路二段343號,03-9502235,ilhg990301@mail.e-land.gov.tw,佛光大學管理所碩士,第十八屆五結鄉鄉民代表,http://tw.myblog.yahoo.com/c0952451166,http://ilwct.e-land.gov.tw/
099第十六屆各鄉鎮市長選舉,宜蘭縣,三星鄉,宜蘭縣三星鄉公所,黃錫墉,鄉長,男,民主進步黨,(266)宜蘭縣三星鄉集慶村成功路67號,03-9893023,sanb001@mail.e-land.gov.tw,宜蘭農工,三星鄉民代表會第18、19屆代表,,
