name,page-name,page-id,likes,talking-about,percent,party,dist
丁守中,丁守中,tingshouchung,27611,4633,16.77954438,國民黨,台北市第1選舉區
吳思瑤,台北有需要‧請找吳思瑤,TaipeiNeedYou,20959,5967,28.46986975,民進黨,台北市第1選舉區
王靜亞,王靜亞,drwangyaya,14584,7342,50.34284147,民國黨,台北市第1選舉區
姚文智,姚文智翻台北,YaoTurningTaipei,30825,2274,7.377128954,民進黨,台北市第2選舉區
潘懷宗,潘懷宗,apan710,16706,5533,33.11983718,新黨,台北市第2選舉區
吳俊德,吳俊德,tmskex,4458,2571,57.67160162,信心希望聯盟,台北市第2選舉區
蔣萬安,蔣萬安,chiangwanan,28996,11086,38.2328597,國民黨,台北市第3選舉區
潘建志,BillyPan 潘建志醫師,billypan102,164806,17139,10.39950002,無黨籍,台北市第3選舉區
李晏榕,李晏榕 Yen-jong Lee,sdpyenjonglee,11107,3313,29.82803637,綠黨社會民主黨聯盟,台北市第3選舉區
林新凱,林新凱,akhai.tw,855,12,1.403508772,台灣獨立黨,台北市第3選舉區
黃麗香,第九屆立法委員臺北市第三選區（中山、松山）候選人黃麗香,804942532948244,46,17,36.95652174,無黨籍,台北市第3選舉區
李彥秀,李彥秀,ashow.tpe,32763,10697,32.64963526,國民黨,台北市第4選舉區
黃珊珊,台北市議員黃珊珊,taipei33,81204,7566,9.317275011,親民黨,台北市第4選舉區
蕭亞譚,蕭亞譚網路總部,YatanOffice,11167,1515,13.5667592,台灣團結聯盟,台北市第4選舉區
陳尚志,陳尚志 社會民主黨,SCCSDP,5142,3422,66.54998055,綠黨社會民主黨聯盟,台北市第4選舉區
林少馳,林少馳 Terrence Lin,sclregeneration,2488,857,34.44533762,時代力量,台北市第4選舉區
何偉,何偉,SAVETAIWANECONOMICS,128,17,13.28125,無黨籍,台北市第4選舉區
林昶佐,林昶佐 中正萬華關鍵戰將,ivotefreddy,27923,12876,46.11252373,時代力量,台北市第5選舉區
李家幸,朝天椒（李家幸）,hotpepper.tw,451,835,185.1441242,台灣獨立黨,台北市第5選舉區
尤瑞敏,尤瑞敏 （蔡媽媽）,1448822928767933,2115,191,9.030732861,樹黨,台北市第5選舉區
蔣乃辛,蔣乃辛,Chiang.NaiShin,1029,167,16.22934888,國民黨,台北市第6選舉區
范雲,大安推范雲,daan4fanyun,14408,3431,23.81315936,綠黨社會民主黨聯盟,台北市第6選舉區
吳旭智,吳旭智,Morning.MKT,4124,2488,60.32977692,民國黨,台北市第6選舉區
龎維良,龎維良- 改變才有新力量,756275957803295,1490,303,20.33557047,無黨籍,台北市第6選舉區
周芳如,周芳如大安區立委參選人,choufj,2302,602,26.15117289,無黨籍,台北市第6選舉區
趙衍慶,趙衍慶,737238553021570,217,38,17.51152074,無黨籍,台北市第6選舉區
陳家宏,陳家宏,ChiaHungChen.tw,1115,112,10.04484305,樹黨,台北市第6選舉區
曾獻瑩,政治 從家開始-曾獻瑩,politicsfromfamily,1869,2001,107.0626003,信心希望聯盟,台北市第6選舉區
古文發,大愛憲改聯盟大安區立委參選人 古文發,441557072670526,259,12,4.633204633,大愛憲改聯盟,台北市第6選舉區
費鴻泰,費鴻泰（阿力克司）,893657620668012,33816,10562,31.23373551,國民黨,台北市第7選舉區
呂欣潔,呂欣潔 Jennifer Lu,JenniferLuTw,16400,6621,40.37195122,綠黨社會民主黨聯盟,台北市第7選舉區
楊實秋,楊實秋,PPMasterYang,69831,24332,34.84412367,無黨籍,台北市第7選舉區
林文傑,林文傑-信義.南松山,777290745726354,294,81,27.55102041,無黨籍,台北市第7選舉區
賴士葆,賴士葆,1573873889493647,22610,4123,18.23529412,國民黨,台北市第8選舉區
苗博雅,苗博雅 MiaoPoya,miaopoya.sdp,27050,9022,33.35304991,綠黨社會民主黨聯盟,台北市第8選舉區
李慶元,【國會新頭腦】李慶元,863388347084952,8120,2930,36.08374384,無黨籍,台北市第8選舉區
陳如聖,陳如聖,lucent.chen,131,37,28.24427481,台灣工黨,台北市第8選舉區
吳育昇,吳育昇,yeswuasheng,15976,2160,13.52028042,國民黨,新北市第1選舉區
呂孫綾,呂孫綾,shirleylu312,7035,1747,24.83297797,民進黨,新北市第1選舉區
陳明義,陳明義,imingyi,8110,3563,43.93341554,國民黨,新北市第2選舉區
林淑芬,林淑芬,linshufen.fans,22560,6315,27.99202128,民進黨,新北市第2選舉區
李乾龍,李乾龍粉絲團,239551342729652,15772,5287,33.52143038,國民黨,新北市第3選舉區
高志鵬,高志鵬 Gao Jyh Peng,gaojyhpeng,6790,4281,63.04860088,民進黨,新北市第3選舉區
姚胤宏,新北市第三選區立委候選人姚胤宏 - 樹黨,TreespartyYao,122,129,105.7377049,樹黨,新北市第3選舉區
陳茂嘉,陳茂嘉立委候選人～後援會,1521687654809874,167,233,139.5209581,國民黨,新北市第4選舉區
吳秉叡,吳秉叡,Wubray,26705,17983,67.33944954,民進黨,新北市第4選舉區
賈伯楷,賈伯楷,bokaijia,1337,306,22.88706058,綠黨社會民主黨聯盟,新北市第4選舉區
黃志雄,黃志雄&洪佳君,ly11051,19768,2402,12.15095103,國民黨,新北市第5選舉區
蘇巧慧,蘇巧慧,chiaohui.su,70832,10195,14.39321211,民進黨,新北市第5選舉區
郭柏瑜,郭柏瑜 為人民出任務,940997429312809,335,398,118.8059701,時代力量,新北市第5選舉區
林國春,林國春,superkcl,21791,7395,33.93602864,國民黨,新北市第6選舉區
張宏陸,張宏陸,hunglueball,6838,3052,44.63293361,民進黨,新北市第6選舉區
康仁俊,康莊新板橋 康仁俊,187188091318923,5035,4409,87.56703078,親民黨,新北市第6選舉區
李貴寶,李貴寶,753716164737074,1305,976,74.78927203,民國黨,新北市第6選舉區
李建明,李建明,TreesPartyJimmyLi,376,38,10.10638298,樹黨,新北市第6選舉區
黃鈞民,黃鈞民,1464001000569861,1137,53,4.661389622,軍公教聯盟黨,新北市第6選舉區
游信義,游信義,You.HsinYi,4849,2501,51.57764488,信心希望聯盟,新北市第6選舉區
江惠貞,江惠貞,huizhen0128,16552,6910,41.74722088,國民黨,新北市第7選舉區
羅致政,台灣新力量/羅致政粉絲團,voteforlo,39737,6593,16.5915897,民進黨,新北市第7選舉區
李婉鈺,李婉鈺的園地,wanyu.newtaipeicity,14768,1229,8.322047671,無黨籍,新北市第7選舉區
汪成華,汪成華/新北第7選區-板橋東區立委參選人,e.Bangiao,355,36,10.14084507,健保免費連線,新北市第7選舉區
張慶忠,張慶忠,chingchung401224,1687,463,27.44516894,國民黨,新北市第8選舉區
江永昌,江永昌,iamyungchang,586,454,77.47440273,民進黨,新北市第8選舉區
林德福,林德福,lintefu,1443,206,14.27581428,國民黨,新北市第9選舉區
張菁芳,張菁芳 民國黨立委參選人_永和·中和秀安,mkt234ccchang,4005,891,22.24719101,民國黨,新北市第9選舉區
李幸長,居住正義 - 李幸長,leehsinchangTW,2339,215,9.191962377,無黨籍,新北市第9選舉區
吳琪銘,吳琪銘,wuqiming519,5767,2379,41.25195075,民進黨,新北市第10選舉區
羅明才,羅明才,mtlo.tw,12564,788,6.271887934,國民黨,新北市第11選舉區
陳永福,新北市議員 陳永福,fu.hearken,2589,534,20.62572422,民進黨,新北市第11選舉區
曾柏瑜,曾柏瑜,poyu.tseng2016,7732,3532,45.68028971,綠黨社會民主黨聯盟,新北市第11選舉區
李慶華,李慶華,lym033a,15281,2838,18.57208298,國民黨,新北市第12選舉區
黃國昌,「黃國昌  從頭贏回台灣」,kcfor2016,27448,5479,19.96138152,時代力量,新北市第12選舉區
陳永順,陳永順,FHLTWys,1217,306,25.14379622,信心希望聯盟,新北市第12選舉區
陳根德,陳根德,kentechen,19329,3590,18.57312846,國民黨,桃園市第1選舉區
鄭運鵬,鄭運鵬粉絲團,nicepongpong,1438,235,16.34214186,民進黨,桃園市第1選舉區
王寶萱,王寶萱,standforpeople,5861,1964,33.50963999,綠黨社會民主黨聯盟,桃園市第1選舉區
廖正井,廖正井,590121424421164,3542,1050,29.64426877,國民黨,桃園市第2選舉區
陳佩俞,陳佩俞,py1234,1171,181,15.45687447,樹黨,桃園市第2選舉區
陳學聖,陳學聖,junglicity,22608,906,4.007430998,國民黨,桃園市第3選舉區
徐景文,徐景文,cwhsu2016,21945,10892,49.63317384,民進黨,桃園市第3選舉區
陳宏瑞,陳宏瑞,inventor.MKT,3525,1451,41.16312057,民國黨,桃園市第3選舉區
賴立竹,中壢優先 賴立竹,140397062741642,3814,1493,39.14525433,無黨籍,桃園市第3選舉區
楊麗環,楊麗環,yanglihuan,4021,1370,34.07112659,國民黨,桃園市第4選舉區
鄭寶清,鄭寶清,1.57245E+15,2979,1287,43.20241692,民進黨,桃園市第4選舉區
呂玉玲,看見幸福 呂玉玲,yuling616,13644,3678,26.95690413,國民黨,桃園市第5選舉區
張肇良,張肇良 為您打拼,zao.liang4798751,21128,6050,28.63498675,民進黨,桃園市第5選舉區
張誠,民國黨 張誠博士 平鎮龍潭區 立法委員參選人,PhDChang,7733,1742,22.52683305,民國黨,桃園市第5選舉區
孫大千,"孫大千Sun, Ta-Chien",1503745219913314,15833,2094,13.22554159,國民黨,桃園市第6選舉區
呂東杰,呂東杰,lu.d.jie.10,893,175,19.5968645,綠黨社會民主黨聯盟,桃園市第6選舉區
趙正宇,趙正宇,JhengYuOfficeBlog,12152,2303,18.9516129,無黨籍,桃園市第6選舉區
顏秋月,顏秋月,chiouyueyen,9441,1584,16.7778837,國民黨,台中市第1選舉區
蔡其昌,蔡其昌,taichungGogogo,129838,27300,21.02620188,民進黨,台中市第1選舉區
顏寬恒,顏寬恒,kuanheng99,23643,7137,30.18652455,國民黨,台中市第2選舉區
陳世凱,陳世凱,chenshihkai.taichung,25602,6127,23.93172408,民進黨,台中市第2選舉區
楊瓊瓔,好立委 楊瓊瓔,195094157238158,41068,16315,39.72679458,國民黨,台中市第3選舉區
洪慈庸,洪慈庸,newpowerhung,102473,53134,51.85170728,時代力量,台中市第3選舉區
蔡錦隆,蔡錦隆加油讚,long.tcgo,25181,7434,29.52225885,國民黨,台中市第4選舉區
張廖萬堅,堅持．張廖萬堅,wanchien0209,20466,5302,25.90638132,民進黨,台中市第4選舉區
吳淑慧,吳淑慧,nikkywuMKT,6032,2890,47.91114058,民國黨,台中市第4選舉區
